"","Регион","Месяц","Квартал","Индекс потребительской активности","Доля безналичных платежей","Количество внутренних туристов","Всего одобренных заявок","Доля онлайн-заявок","Доля заявок в офисе банка","Всего ипотечных сделок","Доля сделок, первичка","Доля сделок, вторичка","Среднемесячная заработная плата","Число активных абонентов беспроводного доступа к сети","Уровень безработицы населения"
"358","Московская область","Октябрь","Квартал 4",70,57.8,-43.64,"> 10 000",0.58,0.42,"> 1 000",0.19,0.76,57519,8148,4.1
"359","Московская область","Ноябрь","Квартал 4",63.5,57.8,-49.51,"> 10 000",0.59,0.41,"> 1 000",0.2,0.75,55641.4,8148,4.1
"360","Московская область","Декабрь","Квартал 4",70,57.8,-54.85,"5 000 - 10 000",0.57,0.43,"> 1 000",0.19,0.75,74968.9,8148,4.1
"361","Мурманская область","Январь","Квартал 1",62,64.2,8.1,"500 - 1 000",0.44,0.56,"100 - 500",0.22,0.76,63045.7,3630,6.6
"362","Мурманская область","Февраль","Квартал 1",68,60.6,7.83,"500 - 1 000",0.38,0.62,"100 - 500",0.13,0.85,63502.4,3630,6.6
"363","Мурманская область","Март","Квартал 1",67,63.1,5.89,"500 - 1 000",0.4,0.6,"100 - 500",0.19,0.79,65370.7,3630,6.6
"364","Мурманская область","Апрель","Квартал 2",46.5,63.6,-67.24,"100 - 500",0.6,0.4,"100 - 500",0.18,0.8,66855.9,3642,8.1
"365","Мурманская область","Май","Квартал 2",60,63.4,-59.95,"500 - 1 000",0.51,0.49,"100 - 500",0.41,0.57,74358.2,3642,8.1
"366","Мурманская область","Июнь","Квартал 2",68,61.8,-24.82,"500 - 1 000",0.42,0.58,"100 - 500",0.36,0.6,70874.2,3642,8.1
"367","Мурманская область","Июль","Квартал 3",73,61.6,-10.92,"500 - 1 000",0.47,0.53,"100 - 500",0.35,0.62,69117.7,5703,8.4
"368","Мурманская область","Август","Квартал 3",70,63.2,14.24,"1 000 - 5 000",0.52,0.48,"100 - 500",0.32,0.66,61271.9,5703,8.4
"369","Мурманская область","Сентябрь","Квартал 3",72,62.7,22.01,"1 000 - 5 000",0.47,0.53,"500 - 1 000",0.35,0.62,63690.2,5703,8.4
"370","Мурманская область","Октябрь","Квартал 4",68,63.8,-1.98,"1 000 - 5 000",0.51,0.49,"500 - 1 000",0.26,0.7,67154.6,5530,7.7
"371","Мурманская область","Ноябрь","Квартал 4",68,65.4,-18.57,"500 - 1 000",0.55,0.45,"500 - 1 000",0.23,0.73,65648.2,5530,7.7
"372","Мурманская область","Декабрь","Квартал 4",70,63.2,-16.62,"500 - 1 000",0.53,0.47,"500 - 1 000",0.19,0.76,93654,5530,7.7
"373","Нижегородская область","Январь","Квартал 1",69,56,25.65,"1 000 - 5 000",0.33,0.67,"500 - 1 000",0.11,0.84,33658,710,4.2
"374","Нижегородская область","Февраль","Квартал 1",72,52.9,26.76,"1 000 - 5 000",0.31,0.69,"> 1 000",0.12,0.84,34897,710,4.2
"375","Нижегородская область","Март","Квартал 1",74,54.1,13.24,"1 000 - 5 000",0.34,0.66,"> 1 000",0.12,0.83,37475,710,4.2
"376","Нижегородская область","Апрель","Квартал 2",43.5,55.1,-58.34,"1 000 - 5 000",0.54,0.46,"> 1 000",0.08,0.89,35818.6,832,4.7
"377","Нижегородская область","Май","Квартал 2",53,56.6,-65.99,"1 000 - 5 000",0.49,0.51,"500 - 1 000",0.21,0.75,36532.6,832,4.7
"378","Нижегородская область","Июнь","Квартал 2",68,54.7,-27.9,"1 000 - 5 000",0.4,0.6,"> 1 000",0.21,0.76,37309.6,832,4.7
"379","Нижегородская область","Июль","Квартал 3",74,54.4,-7.96,"1 000 - 5 000",0.47,0.53,"> 1 000",0.23,0.74,36631.9,826,4.8
"380","Нижегородская область","Август","Квартал 3",71,56.1,12.43,"1 000 - 5 000",0.47,0.53,"> 1 000",0.22,0.74,35633.6,826,4.8
"381","Нижегородская область","Сентябрь","Квартал 3",76,55.6,6.17,"1 000 - 5 000",0.45,0.55,"> 1 000",0.16,0.79,36842.5,826,4.8
"382","Нижегородская область","Октябрь","Квартал 4",75,56.7,-14.48,"1 000 - 5 000",0.47,0.53,"> 1 000",0.2,0.75,36558.2,687,4.8
"383","Нижегородская область","Ноябрь","Квартал 4",67,59,-32.26,"1 000 - 5 000",0.48,0.52,"> 1 000",0.15,0.8,36702.7,687,4.8
"384","Нижегородская область","Декабрь","Квартал 4",69,56.7,-24.01,"1 000 - 5 000",0.46,0.54,"> 1 000",0.16,0.79,50996.3,687,4.8
"385","Новгородская область","Январь","Квартал 1",61,58.8,8.06,"100 - 500",0.34,0.66,"100 - 500",0.17,0.81,30700.4,NA,4.1
"386","Новгородская область","Февраль","Квартал 1",65,55.4,16.27,"100 - 500",0.35,0.65,"100 - 500",0.1,0.88,30814.3,NA,4.1
"387","Новгородская область","Март","Квартал 1",66,57.7,8.23,"100 - 500",0.32,0.68,"100 - 500",0.07,0.89,31098.2,NA,4.1
"388","Новгородская область","Апрель","Квартал 2",48.5,57.7,-42.47,"100 - 500",0.5,0.5,"100 - 500",0.06,0.93,31213.7,NA,5.7
"389","Новгородская область","Май","Квартал 2",57,59.9,-48.44,"100 - 500",0.51,0.49,"100 - 500",0.23,0.73,31892.4,NA,5.7
"390","Новгородская область","Июнь","Квартал 2",67.5,58.3,3.21,"500 - 1 000",0.36,0.64,"100 - 500",0.19,0.79,32544.8,NA,5.7
"391","Новгородская область","Июль","Квартал 3",69,57.1,6.12,"500 - 1 000",0.45,0.55,"100 - 500",0.17,0.8,33614.7,NA,6
"392","Новгородская область","Август","Квартал 3",68,58.8,35.64,"500 - 1 000",0.42,0.58,"100 - 500",0.2,0.78,32028.8,NA,6
"393","Новгородская область","Сентябрь","Квартал 3",72.5,59.1,29,"500 - 1 000",0.4,0.6,"100 - 500",0.2,0.77,32005.3,NA,6
"394","Новгородская область","Октябрь","Квартал 4",67,60.1,20.08,"500 - 1 000",0.45,0.55,"100 - 500",0.12,0.85,32228.4,NA,7.4
"395","Новгородская область","Ноябрь","Квартал 4",65,62,2.42,"500 - 1 000",0.44,0.56,"100 - 500",0.17,0.78,31727.1,NA,7.4
"396","Новгородская область","Декабрь","Квартал 4",67,60.1,-13.26,"100 - 500",0.46,0.54,"100 - 500",0.14,0.79,39789.2,NA,7.4
"397","Новосибирская область","Январь","Квартал 1",63,51.6,22.13,"1 000 - 5 000",0.35,0.65,"500 - 1 000",0.23,0.71,38062.9,10427,5.6
"398","Новосибирская область","Февраль","Квартал 1",70,49,27.59,"1 000 - 5 000",0.34,0.66,"500 - 1 000",0.23,0.74,38246.4,10427,5.6
"399","Новосибирская область","Март","Квартал 1",70,49.8,7.96,"1 000 - 5 000",0.35,0.65,"500 - 1 000",0.23,0.73,40272.7,10427,5.6
"400","Новосибирская область","Апрель","Квартал 2",54,50,-57.11,"1 000 - 5 000",0.43,0.57,"500 - 1 000",0.14,0.82,39377.4,10805,6.5
"401","Новосибирская область","Май","Квартал 2",62,50.2,-55,"1 000 - 5 000",0.39,0.61,"500 - 1 000",0.36,0.61,40148.1,10805,6.5
"402","Новосибирская область","Июнь","Квартал 2",71,49.3,-35.34,"1 000 - 5 000",0.34,0.66,"> 1 000",0.39,0.59,42322.5,10805,6.5
"403","Новосибирская область","Июль","Квартал 3",74,50,-24.89,"1 000 - 5 000",0.4,0.6,"> 1 000",0.35,0.62,39988.2,11767,7.5
"404","Новосибирская область","Август","Квартал 3",73,51.7,-3.12,"1 000 - 5 000",0.44,0.56,"> 1 000",0.36,0.6,38200.4,11767,7.5
"405","Новосибирская область","Сентябрь","Квартал 3",76,51.1,-2.16,"1 000 - 5 000",0.38,0.62,"> 1 000",0.33,0.61,39775,11767,7.5
"406","Новосибирская область","Октябрь","Квартал 4",73,52.1,-31.96,"1 000 - 5 000",0.44,0.56,"> 1 000",0.28,0.65,40751.5,11938,7.1
"407","Новосибирская область","Ноябрь","Квартал 4",62.5,53.9,-40.9,"1 000 - 5 000",0.44,0.56,"> 1 000",0.25,0.69,40045.1,11938,7.1
"408","Новосибирская область","Декабрь","Квартал 4",70,53.7,-31.83,"1 000 - 5 000",0.44,0.56,"> 1 000",0.23,0.71,55099.5,11938,7.1
"409","Омская область","Январь","Квартал 1",70,51.6,3.85,"1 000 - 5 000",0.38,0.62,"100 - 500",0.05,0.92,34843.8,586,7.3
"410","Омская область","Февраль","Квартал 1",73,49.8,6.18,"1 000 - 5 000",0.37,0.63,"500 - 1 000",0.04,0.94,34295.3,586,7.3
"411","Омская область","Март","Квартал 1",75,51.7,-4.88,"1 000 - 5 000",0.39,0.61,"500 - 1 000",0.03,0.96,37267,586,7.3
"412","Омская область","Апрель","Квартал 2",63,50.8,-54.3,"500 - 1 000",0.51,0.49,"500 - 1 000",0.03,0.94,37333.8,520,10
"413","Омская область","Май","Квартал 2",73,51.3,-42.21,"1 000 - 5 000",0.49,0.51,"500 - 1 000",0.1,0.88,37456.5,520,10
"414","Омская область","Июнь","Квартал 2",79.5,51.4,-16.74,"1 000 - 5 000",0.43,0.57,"500 - 1 000",0.08,0.9,37938.6,520,10
"415","Омская область","Июль","Квартал 3",83,51.1,-9.84,"1 000 - 5 000",0.44,0.56,"> 1 000",0.06,0.92,36555.9,824,9.6
"416","Омская область","Август","Квартал 3",80,53.1,0.1,"1 000 - 5 000",0.45,0.55,"> 1 000",0.08,0.88,35202.6,824,9.6
"417","Омская область","Сентябрь","Квартал 3",82,53,0.36,"1 000 - 5 000",0.43,0.57,"> 1 000",0.08,0.88,36308,824,9.6
"418","Омская область","Октябрь","Квартал 4",82,53.8,-27.46,"1 000 - 5 000",0.47,0.53,"> 1 000",0.07,0.9,37038.4,894,8.7
"419","Омская область","Ноябрь","Квартал 4",75,56.2,-40.85,"1 000 - 5 000",0.48,0.52,"> 1 000",0.05,0.9,36543.2,894,8.7
"420","Омская область","Декабрь","Квартал 4",76,55.2,-34.69,"1 000 - 5 000",0.48,0.52,"> 1 000",0.05,0.91,48962.2,894,8.7
"421","Оренбургская область","Январь","Квартал 1",60,49.9,7.98,"1 000 - 5 000",0.25,0.75,"100 - 500",0.1,0.87,33161.3,653,4.5
"422","Оренбургская область","Февраль","Квартал 1",66,46.8,17.37,"1 000 - 5 000",0.22,0.78,"500 - 1 000",0.12,0.86,32512,653,4.5
"423","Оренбургская область","Март","Квартал 1",68,47.9,8.31,"1 000 - 5 000",0.24,0.76,"500 - 1 000",0.12,0.85,33899.6,653,4.5
"424","Оренбургская область","Апрель","Квартал 2",49.5,49.2,-46.07,"500 - 1 000",0.4,0.6,"500 - 1 000",0.1,0.87,32892.8,834,5.2
"425","Оренбургская область","Май","Квартал 2",62,49,-43.84,"1 000 - 5 000",0.35,0.65,"500 - 1 000",0.23,0.76,38175.5,834,5.2
"426","Оренбургская область","Июнь","Квартал 2",74,48.1,-23.31,"1 000 - 5 000",0.29,0.71,"500 - 1 000",0.25,0.72,36638.8,834,5.2
"427","Оренбургская область","Июль","Квартал 3",77,48.5,-38.68,"1 000 - 5 000",0.33,0.67,"> 1 000",0.23,0.75,34462.1,777,7
"428","Оренбургская область","Август","Квартал 3",73,49.4,-18.44,"1 000 - 5 000",0.37,0.63,"> 1 000",0.24,0.74,33776,777,7
"429","Оренбургская область","Сентябрь","Квартал 3",73.5,49.3,-15.36,"1 000 - 5 000",0.32,0.68,"> 1 000",0.16,0.8,34614.1,777,7
"430","Оренбургская область","Октябрь","Квартал 4",70,50.4,-28.64,"1 000 - 5 000",0.37,0.63,"> 1 000",0.14,0.81,33581.6,746,6.9
"431","Оренбургская область","Ноябрь","Квартал 4",64,52.6,-34.48,"1 000 - 5 000",0.35,0.65,"> 1 000",0.12,0.83,33373,746,6.9
"432","Оренбургская область","Декабрь","Квартал 4",69,51.8,-21.9,"1 000 - 5 000",0.33,0.67,"> 1 000",0.12,0.85,43506.7,746,6.9
"433","Орловская область","Январь","Квартал 1",66,53.2,11.07,"500 - 1 000",0.17,0.83,"100 - 500",0.34,0.63,28960.6,3371,4.7
"434","Орловская область","Февраль","Квартал 1",68,49.7,24.73,"500 - 1 000",0.17,0.83,"100 - 500",0.3,0.69,29183.8,3371,4.7
"435","Орловская область","Март","Квартал 1",69,51.1,20.98,"500 - 1 000",0.19,0.81,"100 - 500",0.36,0.63,30772.1,3371,4.7
"436","Орловская область","Апрель","Квартал 2",51,52,-35.8,"100 - 500",0.32,0.68,"100 - 500",0.33,0.65,30635.2,3507,7.3
"437","Орловская область","Май","Квартал 2",54,53.2,-43.27,"500 - 1 000",0.3,0.7,"100 - 500",0.46,0.53,31852.9,3507,7.3
"438","Орловская область","Июнь","Квартал 2",70,51,9.1,"500 - 1 000",0.21,0.79,"100 - 500",0.38,0.61,33474.7,3507,7.3
"439","Орловская область","Июль","Квартал 3",73,50.5,4.23,"500 - 1 000",0.29,0.71,"500 - 1 000",0.33,0.65,31802.8,3945,6.1
"440","Орловская область","Август","Квартал 3",72,52.7,18.49,"500 - 1 000",0.27,0.73,"500 - 1 000",0.34,0.64,30832.1,3945,6.1
"441","Орловская область","Сентябрь","Квартал 3",74,52.1,4.49,"500 - 1 000",0.26,0.74,"500 - 1 000",0.36,0.63,31378.3,3945,6.1
"442","Орловская область","Октябрь","Квартал 4",71,53.4,-3.67,"500 - 1 000",0.27,0.73,"500 - 1 000",0.33,0.66,30501.8,4160,6.3
"443","Орловская область","Ноябрь","Квартал 4",67,55.4,-19.73,"500 - 1 000",0.29,0.71,"500 - 1 000",0.27,0.71,30829.1,4160,6.3
"444","Орловская область","Декабрь","Квартал 4",71,53.1,-8.73,"500 - 1 000",0.28,0.72,"500 - 1 000",0.31,0.66,41851.1,4160,6.3
"445","Пензенская область","Январь","Квартал 1",60,51.1,29.81,"500 - 1 000",0.21,0.79,"100 - 500",0.24,0.75,32709.6,517,4.3
"446","Пензенская область","Февраль","Квартал 1",66,47.4,53.59,"500 - 1 000",0.21,0.79,"100 - 500",0.21,0.77,32261.8,517,4.3
"447","Пензенская область","Март","Квартал 1",68,47.9,24.3,"500 - 1 000",0.22,0.78,"500 - 1 000",0.23,0.75,31437.6,517,4.3
"448","Пензенская область","Апрель","Квартал 2",50,49.6,-46.52,"100 - 500",0.4,0.6,"100 - 500",0.18,0.8,31201.1,491,5.8
"449","Пензенская область","Май","Квартал 2",60,48.7,-38.49,"500 - 1 000",0.29,0.71,"100 - 500",0.37,0.61,33446.4,491,5.8
"450","Пензенская область","Июнь","Квартал 2",71,46.5,3.62,"1 000 - 5 000",0.25,0.75,"100 - 500",0.33,0.66,33294.8,491,5.8
"451","Пензенская область","Июль","Квартал 3",78,46.7,8.81,"1 000 - 5 000",0.31,0.69,"500 - 1 000",0.35,0.64,33042.1,478,5.6
"452","Пензенская область","Август","Квартал 3",76,48.4,26.98,"1 000 - 5 000",0.34,0.66,"500 - 1 000",0.31,0.68,32448.8,478,5.6
"453","Пензенская область","Сентябрь","Квартал 3",78,48.7,27.16,"1 000 - 5 000",0.31,0.69,"500 - 1 000",0.28,0.7,32142.9,478,5.6
"454","Пензенская область","Октябрь","Квартал 4",75,50.1,5.38,"1 000 - 5 000",0.33,0.67,"> 1 000",0.23,0.75,32710.4,486,4.6
"455","Пензенская область","Ноябрь","Квартал 4",68.5,52.3,-9.35,"1 000 - 5 000",0.28,0.72,"500 - 1 000",0.24,0.73,31820.9,486,4.6
"456","Пензенская область","Декабрь","Квартал 4",70,50.2,-2.24,"1 000 - 5 000",0.29,0.71,"> 1 000",0.28,0.7,40926.7,486,4.6
"457","Пермский край","Январь","Квартал 1",55,57.7,5.74,"1 000 - 5 000",0.32,0.69,"500 - 1 000",0.18,0.79,37013.6,2603,5.3
"458","Пермский край","Февраль","Квартал 1",63,55.9,11.13,"1 000 - 5 000",0.28,0.72,"> 1 000",0.16,0.8,37849.3,2603,5.3
"459","Пермский край","Март","Квартал 1",62,57.2,-2.82,"1 000 - 5 000",0.29,0.71,"> 1 000",0.15,0.81,40480,2603,5.3
"460","Пермский край","Апрель","Квартал 2",41.5,58,-55.99,"1 000 - 5 000",0.5,0.5,"> 1 000",0.13,0.83,39337.5,3207,6.7
"461","Пермский край","Май","Квартал 2",53,58.2,-46.36,"1 000 - 5 000",0.41,0.59,"500 - 1 000",0.3,0.67,41926.6,3207,6.7
"462","Пермский край","Июнь","Квартал 2",66,56.9,-16.27,"1 000 - 5 000",0.35,0.65,"> 1 000",0.33,0.65,42885.3,3207,6.7
"463","Пермский край","Июль","Квартал 3",72,57.1,-11.89,"1 000 - 5 000",0.39,0.61,"> 1 000",0.32,0.66,39894.6,3390,5.9
"464","Пермский край","Август","Квартал 3",70,58.7,7.74,"5 000 - 10 000",0.4,0.6,"> 1 000",0.33,0.64,38803.4,3390,5.9
"465","Пермский край","Сентябрь","Квартал 3",75,58.1,6.77,"1 000 - 5 000",0.38,0.62,"> 1 000",0.26,0.7,39018.4,3390,5.9
"466","Пермский край","Октябрь","Квартал 4",71,59.3,-25.87,"1 000 - 5 000",0.4,0.6,"> 1 000",0.22,0.73,39847.2,3505,5
"467","Пермский край","Ноябрь","Квартал 4",68,61.4,-25.99,"1 000 - 5 000",0.4,0.6,"> 1 000",0.22,0.74,39849.9,3505,5
"468","Пермский край","Декабрь","Квартал 4",70,59.9,-18.51,"1 000 - 5 000",0.39,0.61,"> 1 000",0.21,0.75,55548,3505,5
"469","Приморский край","Январь","Квартал 1",63,51.6,2.76,"1 000 - 5 000",0.38,0.62,"100 - 500",0.39,0.55,48277.3,2041,5.4
"470","Приморский край","Февраль","Квартал 1",69,49.5,1.69,"1 000 - 5 000",0.37,0.63,"500 - 1 000",0.39,0.57,46157.9,2041,5.4
"471","Приморский край","Март","Квартал 1",69,49.9,-11.13,"1 000 - 5 000",0.35,0.65,"500 - 1 000",0.27,0.7,49475.9,2041,5.4
"472","Приморский край","Апрель","Квартал 2",53.5,47.5,-58.64,"500 - 1 000",0.52,0.48,"500 - 1 000",0.21,0.75,47496.1,2073,5.9
"473","Приморский край","Май","Квартал 2",58,49.7,-57.53,"1 000 - 5 000",0.49,0.51,"500 - 1 000",0.35,0.61,50980.6,2073,5.9
"474","Приморский край","Июнь","Квартал 2",66,48.5,-35.24,"1 000 - 5 000",0.47,0.53,"500 - 1 000",0.36,0.6,49564.8,2073,5.9
"475","Приморский край","Июль","Квартал 3",73,47.8,-19.66,"1 000 - 5 000",0.48,0.52,"500 - 1 000",0.27,0.69,50598.2,2059,5.4
"476","Приморский край","Август","Квартал 3",74,50.2,1.83,"1 000 - 5 000",0.51,0.49,"500 - 1 000",0.26,0.69,46517.4,2059,5.4
"477","Приморский край","Сентябрь","Квартал 3",78.5,50.1,-12.61,"1 000 - 5 000",0.47,0.53,"> 1 000",0.29,0.66,47510.4,2059,5.4
"478","Приморский край","Октябрь","Квартал 4",79,50.9,-39.99,"1 000 - 5 000",0.5,0.5,"> 1 000",0.2,0.73,48260.9,2046,5.1
"479","Приморский край","Ноябрь","Квартал 4",63.5,52.8,-46.4,"1 000 - 5 000",0.53,0.47,"500 - 1 000",0.21,0.72,47397.3,2046,5.1
"480","Приморский край","Декабрь","Квартал 4",72,52.6,-36.92,"1 000 - 5 000",0.56,0.44,"> 1 000",0.22,0.72,65327.5,2046,5.1
"481","Псковская область","Январь","Квартал 1",57,55.1,14.65,"100 - 500",0.37,0.63,"100 - 500",0.2,0.75,29207.7,11,5.8
"482","Псковская область","Февраль","Квартал 1",63,51.2,23.24,"100 - 500",0.3,0.7,"100 - 500",0.25,0.71,29357.7,11,5.8
"483","Псковская область","Март","Квартал 1",61,53.1,5.67,"100 - 500",0.32,0.68,"100 - 500",0.26,0.72,30723.4,11,5.8
"484","Псковская область","Апрель","Квартал 2",44.5,53.9,-44.22,"100 - 500",0.48,0.52,"100 - 500",0.15,0.82,29632.8,30,6.5
"485","Псковская область","Май","Квартал 2",51,55.8,-49.31,"100 - 500",0.51,0.49,"100 - 500",0.43,0.53,32473.2,30,6.5
"486","Псковская область","Июнь","Квартал 2",62,54.3,-8.93,"100 - 500",0.43,0.57,"100 - 500",0.37,0.62,33290.9,30,6.5
"487","Псковская область","Июль","Квартал 3",66,53.2,-6.09,"500 - 1 000",0.43,0.57,"100 - 500",0.37,0.6,31401.6,42,6.9
"488","Псковская область","Август","Квартал 3",66,54.9,13.39,"500 - 1 000",0.34,0.66,"100 - 500",0.37,0.6,30119,42,6.9
"489","Псковская область","Сентябрь","Квартал 3",67,54.5,9.41,"500 - 1 000",0.38,0.62,"100 - 500",0.35,0.62,30693.3,42,6.9
"490","Псковская область","Октябрь","Квартал 4",65,55.5,-6.96,"500 - 1 000",0.39,0.61,"100 - 500",0.32,0.65,31358.5,44,6.3
"491","Псковская область","Ноябрь","Квартал 4",64,57.3,-28.83,"500 - 1 000",0.42,0.58,"100 - 500",0.23,0.73,30027.7,44,6.3
"492","Псковская область","Декабрь","Квартал 4",68,55.2,-38.9,"100 - 500",0.43,0.57,"100 - 500",0.16,0.8,39090.6,44,6.3
"493","Республика Башкортостан","Январь","Квартал 1",70,54.7,-1.63,"1 000 - 5 000",0.28,0.72,"> 1 000",0.22,0.74,35783,791,4.7
"494","Республика Башкортостан","Февраль","Квартал 1",73,52.9,9.34,"1 000 - 5 000",0.27,0.73,"> 1 000",0.15,0.82,35570.2,791,4.7
"495","Республика Башкортостан","Март","Квартал 1",75,54.3,6.17,"1 000 - 5 000",0.27,0.73,"> 1 000",0.16,0.81,36571.2,791,4.7
"496","Республика Башкортостан","Апрель","Квартал 2",44.5,55.4,-52.04,"1 000 - 5 000",0.41,0.59,"> 1 000",0.14,0.84,37123.9,825,6.2
"497","Республика Башкортостан","Май","Квартал 2",57,54.5,-41.59,"1 000 - 5 000",0.37,0.63,"> 1 000",0.33,0.66,37889.7,825,6.2
"498","Республика Башкортостан","Июнь","Квартал 2",70.5,53.3,-6.41,"5 000 - 10 000",0.32,0.68,"> 1 000",0.29,0.69,40278.3,825,6.2
"499","Республика Башкортостан","Июль","Квартал 3",75,53.4,-6.38,"5 000 - 10 000",0.43,0.57,"> 1 000",0.25,0.73,38271.2,839,6.6
"500","Республика Башкортостан","Август","Квартал 3",70,55,5.3,"5 000 - 10 000",0.45,0.55,"> 1 000",0.25,0.72,37854.2,839,6.6
"501","Республика Башкортостан","Сентябрь","Квартал 3",72.5,55,1.78,"5 000 - 10 000",0.42,0.58,"> 1 000",0.21,0.75,38357.6,839,6.6
"502","Республика Башкортостан","Октябрь","Квартал 4",70,56.4,-23.56,"5 000 - 10 000",0.46,0.54,"> 1 000",0.21,0.76,38324.4,872,6
"503","Республика Башкортостан","Ноябрь","Квартал 4",62.5,58.8,-33.99,"5 000 - 10 000",0.47,0.53,"> 1 000",0.2,0.76,38396.9,872,6
"504","Республика Башкортостан","Декабрь","Квартал 4",69,57.5,-25.17,"5 000 - 10 000",0.45,0.55,"> 1 000",0.18,0.79,50612.9,872,6
"505","Республика Бурятия","Январь","Квартал 1",61,56,47.67,"500 - 1 000",0.32,0.68,"100 - 500",0.5,0.48,39099.7,373,10
"506","Республика Бурятия","Февраль","Квартал 1",69,53.4,67.88,"500 - 1 000",0.31,0.69,"100 - 500",0.57,0.41,37980.1,373,10
"507","Республика Бурятия","Март","Квартал 1",70,55.1,54.28,"500 - 1 000",0.32,0.68,"100 - 500",0.36,0.62,40665.1,373,10
"508","Республика Бурятия","Апрель","Квартал 2",44.5,54.6,-41.79,"100 - 500",0.61,0.39,"100 - 500",0.21,0.78,39835.5,374,10.9
"509","Республика Бурятия","Май","Квартал 2",56,56.2,-42.94,"500 - 1 000",0.55,0.45,"100 - 500",0.24,0.73,43429.3,374,10.9
"510","Республика Бурятия","Июнь","Квартал 2",69.5,55.6,-16.48,"500 - 1 000",0.39,0.61,"100 - 500",0.32,0.65,45852,374,10.9
"511","Республика Бурятия","Июль","Квартал 3",73,55.7,-1.32,"1 000 - 5 000",0.39,0.61,"100 - 500",0.26,0.71,39095.8,1454,10.6
"512","Республика Бурятия","Август","Квартал 3",69,57.2,11.36,"1 000 - 5 000",0.45,0.55,"100 - 500",0.19,0.77,36219.3,1454,10.6
"513","Республика Бурятия","Сентябрь","Квартал 3",71.5,56,0.28,"1 000 - 5 000",0.43,0.57,"500 - 1 000",0.22,0.73,39249.6,1454,10.6
"514","Республика Бурятия","Октябрь","Квартал 4",66,56.8,-29.47,"500 - 1 000",0.46,0.54,"500 - 1 000",0.2,0.75,41006,1478,10.7
"515","Республика Бурятия","Ноябрь","Квартал 4",56,57,-47.92,"500 - 1 000",0.48,0.52,"500 - 1 000",0.12,0.82,41010.6,1478,10.7
"516","Республика Бурятия","Декабрь","Квартал 4",64,57.2,-40.17,"1 000 - 5 000",0.45,0.55,"100 - 500",0.18,0.78,55611.1,1478,10.7
"517","Республика Дагестан","Январь","Квартал 1",53,21.7,7.76,"100 - 500",0.28,0.72,"100 - 500",0.07,0.85,26779.1,74,13.9
"518","Республика Дагестан","Февраль","Квартал 1",58,18.7,1.81,"500 - 1 000",0.28,0.72,"100 - 500",0.05,0.9,26898.8,74,13.9
"519","Республика Дагестан","Март","Квартал 1",59,18.2,16.84,"500 - 1 000",0.31,0.69,"100 - 500",0.05,0.87,27924.2,74,13.9
"520","Республика Дагестан","Апрель","Квартал 2",36,16,-50.37,"100 - 500",0.53,0.47,"100 - 500",0.03,0.94,27905.8,77,17.4
"521","Республика Дагестан","Май","Квартал 2",39,18,-59.21,"100 - 500",0.5,0.5,"100 - 500",0.14,0.83,30448.8,77,17.4
"522","Республика Дагестан","Июнь","Квартал 2",56.5,16.8,-44.53,"500 - 1 000",0.42,0.58,"100 - 500",0.1,0.78,35491.2,77,17.4
"523","Республика Дагестан","Июль","Квартал 3",66,17.3,-7.95,"500 - 1 000",0.37,0.63,"100 - 500",0.08,0.83,25832.2,281,15.7
"524","Республика Дагестан","Август","Квартал 3",66,20.2,10.25,"500 - 1 000",0.4,0.6,"100 - 500",0.15,0.78,26960.7,281,15.7
"525","Республика Дагестан","Сентябрь","Квартал 3",74,20.9,34.56,"500 - 1 000",0.43,0.57,"100 - 500",0.11,0.84,29992.6,281,15.7
"526","Республика Дагестан","Октябрь","Квартал 4",74,20.2,4.49,"500 - 1 000",0.43,0.57,"100 - 500",0.12,0.79,29477.6,282,15.9
"527","Республика Дагестан","Ноябрь","Квартал 4",69.5,21.8,-14.83,"500 - 1 000",0.45,0.55,"100 - 500",0.13,0.81,28894.6,282,15.9
"528","Республика Дагестан","Декабрь","Квартал 4",76,18.9,-2.6,"1 000 - 5 000",0.51,0.49,"100 - 500",0.1,0.84,41675.4,282,15.9
"529","Республика Калмыкия","Январь","Квартал 1",49,47.9,13.43,"100 - 500",0.26,0.74,"50 - 100",0.09,0.85,27586.3,350,8.7
"530","Республика Калмыкия","Февраль","Квартал 1",57,45.6,24.7,"100 - 500",0.26,0.74,"50 - 100",0.13,0.86,27923.6,350,8.7
"531","Республика Калмыкия","Март","Квартал 1",59,46.3,31.14,"100 - 500",0.38,0.62,"50 - 100",0.12,0.88,29190.2,350,8.7
"532","Республика Калмыкия","Апрель","Квартал 2",41.5,48.3,-53.5,"100 - 500",0.66,0.34,"50 - 100",0.06,0.93,29739.7,391,10.1
"533","Республика Калмыкия","Май","Квартал 2",50,48.4,-50.57,"100 - 500",0.47,0.53,"50 - 100",0.3,0.7,35245.3,391,10.1
"534","Республика Калмыкия","Июнь","Квартал 2",63,45.2,-6.28,"100 - 500",0.39,0.61,"100 - 500",0.31,0.66,34308.6,391,10.1
"535","Республика Калмыкия","Июль","Квартал 3",67,44.5,-3.15,"100 - 500",0.42,0.58,"100 - 500",0.24,0.76,30793.1,424,10.3
"536","Республика Калмыкия","Август","Квартал 3",67,46.9,-1.51,"100 - 500",0.35,0.65,"100 - 500",0.25,0.74,30414.5,424,10.3
